"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"NATR","RB","lake_rearing","ha",20623.6,,,,"NOT_APPLICABLE",,,
"NATR","RB","wetland_rearing","ha",13260.31,,,,"NOT_APPLICABLE",,,
"NATR","RB","rearing_stream","km",11729.78,,,,"NOT_APPLICABLE",,,
"NATR","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"NATR","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"NATR","GR","spawning","km",3863.6,,,,"NOT_APPLICABLE",,,
"NATR","GR","rearing","km",5426.14,,,,"NOT_APPLICABLE",,,
"NATR","GR","lake_rearing","ha",19256.14,,,,"NOT_APPLICABLE",,,
"NATR","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"NATR","GR","rearing_stream","km",4749.92,,,,"NOT_APPLICABLE",,,
"NATR","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"NATR","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"OSPK","BT","spawning","km",1980.56,590.47,235.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"OSPK","BT","rearing","km",4329.43,859.65,403.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"OSPK","BT","lake_rearing","ha",90.4,79.32,14,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"OSPK","BT","wetland_rearing","ha",130.99,119.56,9.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"OSPK","BT","rearing_stream","km",3692.18,632,484.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"OSPK","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"OSPK","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"OSPK","RB","spawning","km",1779.2,,,,"NOT_APPLICABLE",,,
"OSPK","RB","rearing","km",3991.27,,,,"NOT_APPLICABLE",,,
"OSPK","RB","lake_rearing","ha",85.83,,,,"NOT_APPLICABLE",,,
"OSPK","RB","wetland_rearing","ha",123.23,,,,"NOT_APPLICABLE",,,
"OSPK","RB","rearing_stream","km",3383.75,,,,"NOT_APPLICABLE",,,
"OSPK","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"OSPK","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"OSPK","GR","spawning","km",895.15,,,,"NOT_APPLICABLE",,,
"OSPK","GR","rearing","km",1306.11,,,,"NOT_APPLICABLE",,,
"OSPK","GR","lake_rearing","ha",48.61,,,,"NOT_APPLICABLE",,,
"OSPK","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"OSPK","GR","rearing_stream","km",945.02,,,,"NOT_APPLICABLE",,,
"OSPK","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"OSPK","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARA","BT","spawning","km",2619.24,708.56,269.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PARA","BT","rearing","km",5197.42,1781.3,191.8,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PARA","BT","lake_rearing","ha",173930.78,173883.96,0,,"WITHIN_TOLERANCE",,"CLOSED",
"PARA","BT","wetland_rearing","ha",9625.55,9075.12,6.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PARA","BT","rearing_stream","km",3805.58,1225.32,210.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PARA","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PARA","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PARA","RB","spawning","km",2528.65,,,,"NOT_APPLICABLE",,,
"PARA","RB","rearing","km",5266.14,,,,"NOT_APPLICABLE",,,
"PARA","RB","lake_rearing","ha",173930.37,,,,"NOT_APPLICABLE",,,
"PARA","RB","wetland_rearing","ha",9609.77,,,,"NOT_APPLICABLE",,,
"PARA","RB","rearing_stream","km",3900.95,,,,"NOT_APPLICABLE",,,
"PARA","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARA","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARA","GR","spawning","km",1497.14,,,,"NOT_APPLICABLE",,,
"PARA","GR","rearing","km",2099.92,,,,"NOT_APPLICABLE",,,
"PARA","GR","lake_rearing","ha",173491.12,,,,"NOT_APPLICABLE",,,
"PARA","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"PARA","GR","rearing_stream","km",1207.99,,,,"NOT_APPLICABLE",,,
"PARA","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARA","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","BT","spawning","km",1683.08,1667.92,0.9,,"WITHIN_TOLERANCE",,"CLOSED",
"PARS","BT","rearing","km",2625.56,2588.91,1.4,,"WITHIN_TOLERANCE",,"CLOSED",
"PARS","BT","lake_rearing","ha",1839.2,2113.02,-13,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PARS","BT","wetland_rearing","ha",7829.82,7824.11,0.1,,"WITHIN_TOLERANCE",,"CLOSED",
