config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
default,MORR,BT,rearing_lake_centerline,km,0,0,NA
default,MORR,BT,rearing_wetland_centerline,km,0,0,NA
default,MORR,CH,spawning,km,646.28,643.68,0.4
default,MORR,CH,rearing,km,1171.33,879.43,33.19
default,MORR,CH,lake_rearing,ha,16024.37,0,NA
default,MORR,CH,wetland_rearing,ha,5660.79,0,NA
default,MORR,CH,rearing_stream,km,870.86,580.86,49.93
default,MORR,CH,rearing_lake_centerline,km,0,0,NA
default,MORR,CH,rearing_wetland_centerline,km,0,0,NA
default,MORR,CO,spawning,km,941.65,911.71,3.28
default,MORR,CO,rearing,km,1300.65,1227.86,5.93
default,MORR,CO,lake_rearing,ha,17139.87,0,NA
default,MORR,CO,wetland_rearing,ha,5680.81,5930.38,-4.21
default,MORR,CO,rearing_stream,km,999.62,928.74,7.63
default,MORR,CO,rearing_lake_centerline,km,0,0,NA
default,MORR,CO,rearing_wetland_centerline,km,0,0,NA
default,MORR,PK,spawning,km,971.3,965.51,0.6
default,MORR,PK,rearing,km,0,0,NA
default,MORR,PK,lake_rearing,ha,0,0,NA
default,MORR,PK,wetland_rearing,ha,0,0,NA
default,MORR,PK,rearing_stream,km,0,0,NA
default,MORR,PK,rearing_lake_centerline,km,0,0,NA
default,MORR,PK,rearing_wetland_centerline,km,0,0,NA
default,MORR,SK,spawning,km,85.59,53.83,59
default,MORR,SK,rearing,km,442.33,442.33,0
default,MORR,SK,lake_rearing,ha,15771.82,15771.82,0
default,MORR,SK,wetland_rearing,ha,0,0,NA
default,MORR,SK,rearing_stream,km,0,0,NA
default,MORR,SK,rearing_lake_centerline,km,0,0,NA
default,MORR,SK,rearing_wetland_centerline,km,0,0,NA
default,MORR,ST,spawning,km,663.74,648.19,2.4
default,MORR,ST,rearing,km,1430.69,1176.04,21.65
default,MORR,ST,lake_rearing,ha,16443.12,0,NA
default,MORR,ST,wetland_rearing,ha,5704.54,3851.28,48.12
default,MORR,ST,rearing_stream,km,1126.26,873.5,28.94
default,MORR,ST,rearing_lake_centerline,km,0,0,NA
default,MORR,ST,rearing_wetland_centerline,km,0,0,NA
default,MORR,RB,spawning,km,943.35,0,NA
default,MORR,RB,rearing,km,1727.42,0,NA
default,MORR,RB,lake_rearing,ha,17118.54,0,NA
default,MORR,RB,wetland_rearing,ha,5770.18,0,NA
default,MORR,RB,rearing_stream,km,1422.98,0,NA
default,MORR,RB,rearing_lake_centerline,km,0,0,NA
default,MORR,RB,rearing_wetland_centerline,km,0,0,NA
default,KISP,BT,spawning,km,1258.03,1251.79,0.5
default,KISP,BT,rearing,km,1892.82,1946.71,-2.77
default,KISP,BT,lake_rearing,ha,4054.93,4246.73,-4.52
default,KISP,BT,wetland_rearing,ha,2482.15,2455.97,1.07
default,KISP,BT,rearing_stream,km,1447.54,1389.83,4.15
default,KISP,BT,rearing_lake_centerline,km,0,0,NA
default,KISP,BT,rearing_wetland_centerline,km,0,0,NA
default,KISP,CH,spawning,km,862.26,859.81,0.28
default,KISP,CH,rearing,km,1178.81,1049.67,12.3
default,KISP,CH,lake_rearing,ha,2919.31,0,NA
default,KISP,CH,wetland_rearing,ha,2044.09,0,NA
default,KISP,CH,rearing_stream,km,737.52,610.82,20.74
