config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
bcfishpass,MORR,CO,rearing_stream,km,927.7,928.74,-0.11
bcfishpass,MORR,CO,rearing_lake_centerline,km,0,0,NA
bcfishpass,MORR,CO,rearing_wetland_centerline,km,0,0,NA
bcfishpass,MORR,PK,spawning,km,966.42,965.51,0.09
bcfishpass,MORR,PK,rearing,km,0,0,NA
bcfishpass,MORR,PK,lake_rearing,ha,0,0,NA
bcfishpass,MORR,PK,wetland_rearing,ha,0,0,NA
bcfishpass,MORR,PK,rearing_stream,km,0,0,NA
bcfishpass,MORR,PK,rearing_lake_centerline,km,0,0,NA
bcfishpass,MORR,PK,rearing_wetland_centerline,km,0,0,NA
bcfishpass,MORR,SK,spawning,km,54.81,53.83,1.82
bcfishpass,MORR,SK,rearing,km,442.33,442.33,0
bcfishpass,MORR,SK,lake_rearing,ha,15771.82,15771.82,0
bcfishpass,MORR,SK,wetland_rearing,ha,0,0,NA
bcfishpass,MORR,SK,rearing_stream,km,0,0,NA
bcfishpass,MORR,SK,rearing_lake_centerline,km,0,0,NA
bcfishpass,MORR,SK,rearing_wetland_centerline,km,0,0,NA
bcfishpass,MORR,ST,spawning,km,649.32,648.19,0.17
bcfishpass,MORR,ST,rearing,km,1159.1,1176.04,-1.44
bcfishpass,MORR,ST,lake_rearing,ha,0,0,NA
bcfishpass,MORR,ST,wetland_rearing,ha,0,3851.28,-100
bcfishpass,MORR,ST,rearing_stream,km,854.67,873.5,-2.16
bcfishpass,MORR,ST,rearing_lake_centerline,km,0,0,NA
bcfishpass,MORR,ST,rearing_wetland_centerline,km,0,0,NA
bcfishpass,KISP,BT,spawning,km,1256.68,1251.79,0.39
bcfishpass,KISP,BT,rearing,km,1947.28,1946.71,0.03
bcfishpass,KISP,BT,lake_rearing,ha,0,4246.73,-100
bcfishpass,KISP,BT,wetland_rearing,ha,0,2455.97,-100
bcfishpass,KISP,BT,rearing_stream,km,1391.68,1389.83,0.13
bcfishpass,KISP,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,KISP,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,KISP,CH,spawning,km,860.45,859.81,0.07
bcfishpass,KISP,CH,rearing,km,1052.02,1049.67,0.22
bcfishpass,KISP,CH,lake_rearing,ha,0,0,NA
bcfishpass,KISP,CH,wetland_rearing,ha,0,0,NA
bcfishpass,KISP,CH,rearing_stream,km,610.73,610.82,-0.01
bcfishpass,KISP,CH,rearing_lake_centerline,km,0,0,NA
bcfishpass,KISP,CH,rearing_wetland_centerline,km,0,0,NA
bcfishpass,KISP,CM,spawning,km,1164.14,1159.65,0.39
bcfishpass,KISP,CM,rearing,km,0,0,NA
bcfishpass,KISP,CM,lake_rearing,ha,0,0,NA
bcfishpass,KISP,CM,wetland_rearing,ha,0,0,NA
bcfishpass,KISP,CM,rearing_stream,km,0,0,NA
bcfishpass,KISP,CM,rearing_lake_centerline,km,0,0,NA
bcfishpass,KISP,CM,rearing_wetland_centerline,km,0,0,NA
bcfishpass,KISP,CO,spawning,km,1112.25,1107.69,0.41
bcfishpass,KISP,CO,rearing,km,1273.93,1266.54,0.58
bcfishpass,KISP,CO,lake_rearing,ha,0,0,NA
bcfishpass,KISP,CO,wetland_rearing,ha,0,2301.27,-100
bcfishpass,KISP,CO,rearing_stream,km,832.64,827.7,0.6
bcfishpass,KISP,CO,rearing_lake_centerline,km,0,0,NA
bcfishpass,KISP,CO,rearing_wetland_centerline,km,0,0,NA
bcfishpass,KISP,PK,spawning,km,1164.14,1159.65,0.39
bcfishpass,KISP,PK,rearing,km,0,0,NA
bcfishpass,KISP,PK,lake_rearing,ha,0,0,NA
bcfishpass,KISP,PK,wetland_rearing,ha,0,0,NA
bcfishpass,KISP,PK,rearing_stream,km,0,0,NA
bcfishpass,KISP,PK,rearing_lake_centerline,km,0,0,NA
bcfishpass,KISP,PK,rearing_wetland_centerline,km,0,0,NA
bcfishpass,KISP,SK,spawning,km,7.14,7.14,0
bcfishpass,KISP,SK,rearing,km,98.35,98.35,0
bcfishpass,KISP,SK,lake_rearing,ha,2750.95,2750.95,0
bcfishpass,KISP,SK,wetland_rearing,ha,0,0,NA
bcfishpass,KISP,SK,rearing_stream,km,0,0,NA
bcfishpass,KISP,SK,rearing_lake_centerline,km,0,0,NA
bcfishpass,KISP,SK,rearing_wetland_centerline,km,0,0,NA
bcfishpass,KISP,ST,spawning,km,903.43,902.58,0.09
bcfishpass,KISP,ST,rearing,km,1347.2,1347.39,-0.01
bcfishpass,KISP,ST,lake_rearing,ha,0,0,NA
bcfishpass,KISP,ST,wetland_rearing,ha,0,1061.19,-100
bcfishpass,KISP,ST,rearing_stream,km,902.15,904.84,-0.3
bcfishpass,KISP,ST,rearing_lake_centerline,km,0,0,NA
bcfishpass,KISP,ST,rearing_wetland_centerline,km,0,0,NA
bcfishpass,KOTL,BT,spawning,km,1009.46,1008.36,0.11
bcfishpass,KOTL,BT,rearing,km,1932.32,1931.05,0.07
bcfishpass,KOTL,BT,lake_rearing,ha,0,44621.44,-100
bcfishpass,KOTL,BT,wetland_rearing,ha,0,1333.19,-100
bcfishpass,KOTL,BT,rearing_stream,km,1188.4,1187.03,0.12
bcfishpass,KOTL,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,KOTL,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,KOTL,WCT,spawning,km,1128.44,1129.36,-0.08
bcfishpass,KOTL,WCT,rearing,km,1486.42,1495.35,-0.6
